zaroni,location,total_sqft,society,status,transaction,furnishing,parking,bath,price
6900,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6901,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6902,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6903,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6904,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6905,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6906,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6907,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6908,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6909,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6910,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6911,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6912,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6913,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6914,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6915,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6916,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6917,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6918,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6919,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6920,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6921,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6922,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6923,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6924,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6925,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6926,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6927,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6928,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6929,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
